T,n,rho,ess_ratio,proposal,mean,median,sd
2,50,1.0,1.0,stratified,4.0,4.0,0.0
2,100,1.0,1.0,stratified,4.0,4.0,0.0
3,50,1.0,1.0,stratified,12.0,12.0,0.0
3,100,1.0,1.0,stratified,12.0,12.0,0.0
4,50,1.0,1.0,stratified,36.0,36.0,0.0
7,50,1.0,1.0,stratified,837.4304813700667,839.0974148404252,24.733767559123784
7,100,1.0,1.0,stratified,834.2222421625866,834.4232065207751,15.62365449633757
8,100,1.0,1.0,stratified,2390.237850513409,2390.958713505294,53.30480433935969
5,50,1.0,1.0,stratified,102.22752762305012,102.30215827338124,1.7612049254871427
6,50,1.0,1.0,stratified,293.11728260329437,292.52704854838566,6.350672920500771
4,100,1.0,1.0,stratified,36.0,36.0,0.0
5,100,1.0,1.0,stratified,102.26063241920325,102.30215827338124,1.09425044036905
6,100,1.0,1.0,stratified,294.28567760435715,294.5926698623521,4.486343292621429
9,100,1.0,1.0,stratified,6766.960589467932,6763.660597099417,155.64955559460745
9,50,1.0,1.0,stratified,6773.396035908782,6767.966496408801,255.8025157635229
10,50,1.0,1.0,stratified,19125.190656112438,19227.3460496697,780.9628562452947
10,100,1.0,1.0,stratified,19298.014481176095,19297.695860642285,562.4168033473519
8,50,1.0,1.0,stratified,2388.4337142928293,2388.112321042733,75.32835800262707
2,100,1.0,1.0,stratified,4.0,4.0,0.0
2,50,1.0,1.0,stratified,4.0,4.0,0.0
2,50,1.0,1.0,stratified,4.0,4.0,0.0
3,50,1.0,1.0,stratified,12.0,12.0,0.0
4,50,1.0,1.0,stratified,36.0,36.0,0.0
3,100,1.0,1.0,stratified,12.0,12.0,0.0
4,100,1.0,1.0,stratified,36.0,36.0,0.0
5,100,1.0,1.0,stratified,100.15199999999999,100.08000000000001,1.6980212012810707
2,100,1.0,1.0,stratified,4.0,4.0,0.0
5,50,1.0,1.0,stratified,100.1115,100.08000000000001,2.202109840584706
8,50,1.0,1.0,stratified,2165.6504824919994,2169.595203839999,103.1263016537632
9,50,1.0,1.0,stratified,5944.580159170318,5966.556378854402,299.0932993596124
7,50,1.0,1.0,stratified,777.3238764,778.362048,28.941637585747543
6,50,1.0,1.0,stratified,284.9109299999999,284.256,7.4863895142518375
9,100,1.0,1.0,stratified,5886.8750723041385,5851.372513392007,238.3505131113737
6,100,1.0,1.0,stratified,283.33795499999997,283.24800000000005,5.8637597576960125
8,100,1.0,1.0,stratified,2173.2167680965003,2175.4242241200027,68.33785081354274
7,100,1.0,1.0,stratified,780.4557798750002,781.137864,21.809734274519222
10,100,1.0,1.0,stratified,16253.091402382226,16180.551027091304,747.9527303175153
10,50,1.0,1.0,stratified,16248.160208841431,16242.25797196183,1014.0991066877297
